Última Atualização,Submercado,Carga_Verificada,Dia,Mês,Ano,Hora,Minuto
19/03/2021 15:28,SE,"47066,9",19,3,2021,15:30,
19/03/2021 15:28,S,"15225,2",19,3,2021,15:30,
19/03/2021 15:43,N,"5884,5",19,3,2021,15:45,
19/03/2021 15:43,NE,"11892,4",19,3,2021,15:45,
19/03/2021 15:43,SE,"46843,2",19,3,2021,15:45,
19/03/2021 15:43,S,"15208,5",19,3,2021,15:45,
19/03/2021 15:58,N,"5875,9",19,3,2021,16:00,
19/03/2021 15:58,NE,"11807,3",19,3,2021,16:00,
19/03/2021 15:58,SE,"46483,2",19,3,2021,16:00,
19/03/2021 15:58,S,"15210,8",19,3,2021,16:00,
19/03/2021 16:13,N,"5843,3",19,3,2021,16:15,
19/03/2021 16:13,NE,"11715,4",19,3,2021,16:15,
19/03/2021 16:13,SE,"46326,6",19,3,2021,16:15,
19/03/2021 16:13,S,"15175,6",19,3,2021,16:15,
19/03/2021 16:28,N,"5832,7",19,3,2021,16:30,
19/03/2021 16:28,NE,"11570,4",19,3,2021,16:30,
19/03/2021 16:28,SE,"46347,2",19,3,2021,16:30,
19/03/2021 16:28,S,"15178,1",19,3,2021,16:30,
19/03/2021 16:43,N,"5870,4",19,3,2021,16:45,
19/03/2021 16:43,NE,"11442,5",19,3,2021,16:45,
19/03/2021 16:43,SE,"46158,2",19,3,2021,16:45,
19/03/2021 16:43,S,"15158,2",19,3,2021,16:45,
,N,{{norte_verificada}},19,3,2021,17:00,
,NE,{{nordeste_verificada}},19,3,2021,17:00,
,SE,{{sudeste_verificada}},19,3,2021,17:00,
,S,{{sul_verificada}},19,3,2021,17:00,
,N,{{norte_verificada}},19,3,2021,17:34,
,NE,{{nordeste_verificada}},19,3,2021,17:34,
,SE,{{sudeste_verificada}},19,3,2021,17:34,
,S,{{sul_verificada}},19,3,2021,17:34,
,N,{{norte_verificada}},19,3,2021,17:49,
,NE,{{nordeste_verificada}},19,3,2021,17:49,
,SE,{{sudeste_verificada}},19,3,2021,17:49,
,S,{{sul_verificada}},19,3,2021,17:49,
,N,{{norte_verificada}},19,3,2021,18:06,
,NE,{{nordeste_verificada}},19,3,2021,18:06,
,SE,{{sudeste_verificada}},19,3,2021,18:06,
,S,{{sul_verificada}},19,3,2021,18:06,
,N,{{norte_verificada}},19,3,2021,18:21,
,NE,{{nordeste_verificada}},19,3,2021,18:21,
,SE,{{sudeste_verificada}},19,3,2021,18:21,
,S,{{sul_verificada}},19,3,2021,18:21,
,N,{{norte_verificada}},19,3,2021,18:51,
,NE,{{nordeste_verificada}},19,3,2021,18:51,
,SE,{{sudeste_verificada}},19,3,2021,18:51,
,S,{{sul_verificada}},19,3,2021,18:51,
,N,{{norte_verificada}},19,3,2021,19:06,
,NE,{{nordeste_verificada}},19,3,2021,19:06,
,SE,{{sudeste_verificada}},19,3,2021,19:06,
,S,{{sul_verificada}},19,3,2021,19:06,
,N,{{norte_verificada}},19,3,2021,19:21,
,NE,{{nordeste_verificada}},19,3,2021,19:21,
,SE,{{sudeste_verificada}},19,3,2021,19:21,
,S,{{sul_verificada}},19,3,2021,19:21,
,N,{{norte_verificada}},19,3,2021,19:36,
,NE,{{nordeste_verificada}},19,3,2021,19:36,
,SE,{{sudeste_verificada}},19,3,2021,19:36,
,S,{{sul_verificada}},19,3,2021,19:36,
,N,{{norte_verificada}},19,3,2021,19:51,
,NE,{{nordeste_verificada}},19,3,2021,19:51,
,SE,{{sudeste_verificada}},19,3,2021,19:51,
,S,{{sul_verificada}},19,3,2021,19:51,
